text,category,is_emergency,style,subcategory
в 4 подезде не рабтает свет на лестничнй клетке срочн почините а то опасно,light,0,typo,неисправность освещения
"Опять этот вечный мрак в подъезде! Сколько можно терпеть? Где ваши электрики, в отпуске что ли? Пишу в ГЖИ!",light,0,emotional,длительное отсутствие света
во дворе фонарь мигает,light,0,short,неисправность уличного освещения
"Уважаемая УК, в подъезде №3 уже неделю не горит свет на втором этаже. Прошу устранить неисправность.",light,0,formal,отсутствие освещения в подъезде
да это ж совсем темно в подъезде лампочки еле горят скоро совсем перегорят че вообще делаете,light,0,voice,тусклое освещение
в 4 подъзде лампочка мигает уже 2 дня может крткое замыкание?,light,0,typo,мигающий свет
"Какого черта во дворе не работает фонарь уже месяц?! Это же опасно, дети гуляют! Пишу в ГЖИ, если не исправите!",light,0,emotional,неисправность уличного освещения
щитовая дверь не закрывается. 1 подъезд.,light,0,short,незакрывающийся электрощиток
"Срочно! В подъезде №3 на третьем этаже искрит распределительный щиток, идет дым и запах гари! Немедленно отправьте электрика, пока не начался пожар!",light,1,emotional,искрение щитка
да здравствуйте тут кароче в щитовой на первом этаже треск стоит и искры летят с проводов блин пжлста быстрее приезжайте а то ща загорится,light,1,voice,искрение проводов
"В подвале дома воспламенилась проводка, идет черный дым! Срочно вызывайте МЧС и обесточьте дом!",light,1,short,возгорание проводки
Здрвствуйте! В пдъезде №2 на 5 этаже из розетки искры и запах паленой проводки. Проживаю в кв. 512. Срочно пришлите электрика!,light,1,typo,искрение розетки
"Уважаемая управляющая компания! В подъезде №1 на первом этаже произошло короткое замыкание в электрощитке, идет сильный запах гари. Прошу немедленно направить аварийную службу для устранения неисправности. Бездействие может привести к пожару!",light,1,formal,короткое замыкание
"Срочно! В щитовой на первом этаже искрит и пахнет горелым, дым идет! Немедленно отправьте электрика!",light,1,formal,искрение в щитовой
да это авария кароче в подъезде провода дымятся и искрят щас пожар будет приезжайте скорее,light,1,voice,дым от проводов
Видят литкровый щиток на 3эт искрит и трещит срочно нужно выключать электричество опасно,light,1,typo,искрение в щитке
"Вы вообще там живете?! Щитовая горит, дым валит, а вы сидите, гады! Я уже пожарных вызвала!",light,1,emotional,возгорание в щитовой
провода искрят дым 2 подъезд,light,1,short,искрение проводов
"Добрый день, в квартире 5 подъезда 3 батареи чуть теплые, температура в комнатах 18 градусов. Прошу разобраться с подачей тепла.",heating,0,formal,холодные батареи
да это кошмар просто батареи еле теплые мерзнем как собаки че за фигня такая вызовите сантехника плиз,heating,0,voice,низкая температура
Здрвствуйте у нас в 7 пдъезде на 3 этже батреи холодные ччто за хлднца така я уже неделю мерзну,heating,0,typo,отсутствие тепла
"Это просто издевательство! Батареи ледяные, в квартире +16! УК совсем обнаглела, не хотят нормально топить! Пишу жалобу в ГЖИ, надоели уже эти кошмары каждую зиму!",heating,0,emotional,плохое отопление
батареи холодные 4 подъезд,heating,0,short,нет тепла
Добрый день! В квартире №5 подъезд 3 батареи едва теплые. Прошу разобраться с подачей отопления.,heating,0,formal,холодные батареи
такс в кухне батарея прям горячая а в зале чуть теплая это как вообще понять норма или нет,heating,0,voice,неравномерный нагрев
Здрвствуйте! В кв 12 подъезд 1 из стойка течет капает пршу устранить.,heating,0,typo,течь стояка
"Что за бардак!!! Третий день батареи как ледышки, дети мерзнут! Если до завтра не исправят, пишу в ГЖИ и прокуратуру!",heating,0,emotional,отсутствие отопления
в спальне батарея холодная 4 подъезд,heating,0,short,холодные батареи
"Срочно требуется помощь! В квартире 3 на 5 этаже лопнул радиатор отопления, кипяток заливает пол. Температура на улице -20°C, есть риск заморозки стояка!",heating,1,formal,лопнул радиатор
да это кароче жопа полная батарея на 8м этаже лопнула и кипяток льётся везде срочно приезжайте а то соседи снизу уже ругаются,heating,1,voice,лопнул радиатор
в 4 подезде на 6 этажа батарея лопнула кипяток льетсья везде срочно приезжайте промокаем,heating,1,typo,лопнул радиатор
"Что за бардак, блин?! Всю квартиру залило кипятком из-за лопнувшей батареи! Вы хотя бы раз в год проверяете эту рухлядь?! Срочно приезжайте, а то пишу жалобу в ГЖИ и прокуратуру!",heating,1,emotional,лопнул радиатор
лопнула батарея 6 эт кипяток,heating,1,short,лопнул радиатор
"В квартире 45, подъезд 3, батарея лопнула, вода бьет фонтаном! Срочно высылайте аварийку, затапливает все вокруг!",heating,1,emotional,разрыв батареи
да тут в 5 подъезде трубу отопления разорвало кипяток хлещет по стенам люди обожглись уже шлепают по лестнице как после бани,heating,1,voice,прорыв трубы
"3эт. кв7. батареи холодные, а на ул -20! дети замерзают, срочно устраняйте!",heating,1,formal,отсутствие отопления
всю ночь шипело в стояке щас сочится кипяток сквозь плиту этажом ниже кв12 4под,heating,1,typo,течь стояка
пар из розеток! 2 этаж,heating,1,short,завоздушивание
"В подъезде №3 не закрывается входная дверь, доводчик сломан. Прошу устранить неисправность.",door,0,formal,доводчик двери
да тут вторая парадная дверь хлопает как пулемет ночью соседи ругаются уже,door,0,voice,хлопающая дверь
В 5 пдзеде домофон не рботает с понедельника никак не могу дозвонитсь,door,0,typo,домофон
"Сколько можно терпеть этот треклятый сломанный замок в подвале?! Чуть пальцы не оторвало, когда заело! Завтра же пишу в ГЖИ, если не почините!",door,0,emotional,замок подвала
дверь в подвал не закрывается,door,0,short,дверь подвала
"В подъезде №3 сломалась входная дверь, не закрывается, прошу устранить неисправность.",door,0,formal,сломана входная дверь
да это опять соседи с 5 этажа дверь хлопают так что стекла дребезжат каждый день одно и то же,door,0,voice,шум от двери
в 1м подезде двеь не окрывается с домофона кнопка не работает 3й день,door,0,typo,не работает домофон
"Да сколько можно терпеть эту вашу дверь в подвале! Она скрипит, как поезд на смазке из песка! Вы там вообще работаете или зарплату просто получаете?!",door,0,emotional,скрип двери подвала
доводчик сломан 4 подъезд,door,0,short,неисправность доводчика
"СРОЧНО! Входная дверь подъезда №3 не открывается снаружи, заклинило замок! Люди не могут попасть домой, на улице -15°C, есть дети и старики! Немедленно пришлите АДС!",door,1,emotional,заклинило входную дверь
да этож пиздец дверь в подвал намертво захлопнулась а там трубы гвс текут и счетчик моргает как новогодняя елка срочно взламывайте а то ща бабахнет,door,1,voice,заблокирован подвал
Дверь в эвакуационный выход 5 этажа не открывается изнутри! Это нарушение пожарной безопасности! Немедленно устраните! Квартира 57.,door,1,formal,заблокирован эвакуационный выход
крч дверь щитовой на 1эт не фига не открывется а оттуда пахнет гарью и искры летят щас пожар будет,door,1,typo,заблокирован щитовой
сломалась дверь подъезда. застрял ребенок.,door,1,short,заклинило дверь с человеком
"Срочно! В подъезде №3 сломалась входная дверь - не закрывается вообще, любой может зайти! Это опасно, немедленно почините!",door,1,emotional,сломана входная дверь
в 4 подъезде дверь в подвал сорвана с петель и валяется на полу кто-то может упасть в открытый проем срочно нужно фиксить,door,1,voice,дверь подвала разрушена
кв 145 дверь в щитковую заклинило не открывается а там искрит и пахнет горелым высылайте аварийку срочн,door,1,typo,дверь электрощитовой заклинило
"Прошу срочно устранить неисправность: в подъезде №2 аварийный выход заблокирован сломанной дверью, что нарушает требования пожарной безопасности.",door,1,formal,заблокирован аварийный выход
дверь подвала хлопает на ветру - сорвет и убьет кого-то!,door,1,short,оторванная дверь подвала
Прошу принять меры по уборке подъезда №3. На лестничных пролётах уже неделю валяется мусор и пыль.,cleaning,0,formal,грязь в подъезде
да тут у вас в пятом подъезде мусорка переполнена второй день и воняет жутко когда уберёте наконец,cleaning,0,voice,переполненный мусоропровод
во дворе у детской площадки кучи мусора лежат уже 3 дня ветер разносит по всей территории почему не убираете,cleaning,0,typo,мусор на территории
"Что за безобразие?! В подъезде №1 давно не мыли полы, везде следы грязи и окурки! Как можно жить в таком свинарнике?! Пишу жалобу в Жилищную инспекцию!",cleaning,0,emotional,отсутствие уборки
не вывозят мусор из контейнеров,cleaning,0,short,проблема вывоза мусора
"Прошу назначить уборку в подъезде №3. На лестничных клетках уже третий день лежит мусор, и это создает антисанитарные условия.",cleaning,0,formal,грязь в подъезде
да здравствуйте у нас тут во дворе уже неделю мешки с мусором валяются у урны переполнены а запах такой что окна не открыть,cleaning,0,voice,мусор во дворе
Пдъезд 2 ужастно грязный никто не убирает муср везде валяеться помогите,cleaning,0,typo,отсутствие уборки
"Ну что, опять не убрались в подъезде?! Это просто безобразие! Куда смотрит управляйка? Я уже устал жить в свинарнике! Буду жаловаться в жилинспекцию!",cleaning,0,emotional,антисанитария
воняет мусоропровод 4 этаж,cleaning,0,short,засор мусоропровода
"В подъезде №3 на 5 этаже разлито машинное масло, оно течёт по ступенькам! Кто-то может поскользнуться и сломать шею, срочно пришлите уборщиков!",cleaning,1,emotional,грязные лестницы
да алло это 1 подъезд тут мусоропровод забит и отходы уже вываливаются в холл воняет нереально скоро тараканы заведутся,cleaning,1,voice,засор мусоропровода
"кв 45. вчера слмали бутылки у лифта, осколки не убраны, детии бегаю босиком!!!",cleaning,1,typo,битое стекло
Срочно! Во дворе возле детской площадки разбросаны шприцы и медицинские отходы. Требуется дезинфекция.,cleaning,1,formal,опасные отходы
труба канализации лопнула во дворе – фекалии по всей дороге,cleaning,1,short,прорыв канализации
"В подъезде 3 разлилось нечто вонючее из мусоропровода, все ступени в слизи, пахнет так, что глаза слезятся! Немедленно пришлите уборщиков с хлоркой, иначе вызову санитарную инспекцию!",cleaning,1,emotional,засор мусоропровода
да тут в 5 подъезде мусорный бак опрокинули собаки и весь двор в объедках и пакетах дети не могут гулять а вдруг там битое стекло срочно уберите,cleaning,1,voice,разбросанный мусор
кдрпт пожалуста срочнл прибирите лсище крыс в мусрке возле 12 подезда они уже на детску площадку бегают,cleaning,1,typo,антисанитария
"Прошу экстренно устранить последствия прорыва канализационного люка во дворе. Сточные воды смешались с бытовым мусором, угроза эпидемии (кв. 45).",cleaning,1,formal,загрязнение стоками
трупов крыс куча у парадной воняет,cleaning,1,short,биологические отходы
Добрый день! Лифт в 3 подъезде не реагирует на вызов с этажа. Прошу устранить неисправность.,lift,0,formal,не вызывается
да лифт в доме на первом этаже не едет кнопки вроде нажимаются но не реагирует второй день уже,lift,0,voice,не реагирует
лифт в 5 подезде гремит страшно когда ездит прямо как будто развалится щас,lift,0,typo,шумы
"Опять этот чертов лифт! В 4 подъезде не едет, светает пока по лестнице тащусь! УО совсем обнаглели, ремонтировать не хотят! Пишу в ГЖИ!",lift,0,emotional,не едет
кнопки лифта не работают 1 подъезд,lift,0,short,не работают кнопки
Добрый день! В подъезде №3 не работает лифт — не открываются двери и не реагируют кнопки вызова. Прошу устранить неисправность.,lift,0,formal,не открывается
да это жилец с 5 этажа лифт у нас второй день как то шумит когда едет как будто что то скрипит посмотрите плиз,lift,0,voice,шум
"Лифт в 1 подезде не едет на верхние этажи. Кнопки нажимаются, но он останавливается только на 3 этаже. Почините срочно!",lift,0,emotional,не едет
кнпки в лифте не рабтают 4 подезд,lift,0,typo,кнопки
лифт пищит без остановки,lift,0,short,шум
"В подъезде 3 застрял лифт, внутри человек, слышны крики о помощи! Срочно выезжайте!",lift,1,emotional,застрял человек
да выезжайте быстрее в 4 подъезде лифт остановился между этажами там бабушка она не может дышать там душно,lift,1,voice,застрял человек
"Лифт в 1 подъезде не двигается, двери не открываются. Внутри ребенок. Немедленно примите меры!",lift,1,formal,застрял человек
плиз срочно 5й подзд лифт стоп кнопки не работают люди внутре,lift,1,typo,застрял человек
лифт упал! третий этаж!,lift,1,short,авария
"Срочно! В лифте 3 подъезда застряла женщина с ребенком, двери не открываются, слышен плач. Немедленно приезжайте!",lift,1,emotional,застрял человек
да выезжайте быстрее тут лифт на 9 этаже заклинило и там бабушка стучит уже полчаса,lift,1,voice,застрял человек
"Лифт 1 подъезда не реагирует на кнопки, внутри темнота и искрит. Опасность удара током!",lift,1,formal,не работает + искрит
плиз срочн лифт 4 этжж пищит как чайник и воняет горелым!,lift,1,typo,шумы + запах
ребенок в лифте. дверь не открывается.,lift,1,short,застрял человек
"Здравствуйте, в подъезде №3 второго этажа отсутствует плинтус уже больше месяца, прошу устранить недочет.",other,0,formal,плинтус
да тут у нас сосульки на крыше висят уже неделю ну прям крупные такие можете убрать чтоб на голову не свалились,other,0,voice,сосульки
пжлст проверьте балконную плиту на 4 этж она вся в трещинах это нормально?,other,0,typo,балкон
"Что за бардак??? Крыша уже третий месяц течет, вы за это вообще отвечаете или только деньги собирать умеете? Я в Жилищную инспекцию пойду, хватит издеваться над людьми!",other,0,emotional,кровля
фасад облупился 1 подъезд,other,0,short,фасад
Уважаемая управляющая компания! Прошу обратить внимание на разрушающуюся кровлю дома №12 по ул. Ленина. Наблюдаются протечки и отслоение материала. Необходимо провести ремонтные работы.,other,0,formal,протечка кровли
да здравствуйте тут у нас на втором подъезде балкончик прямо сыпется штукатурка опасно ходить там кароче надо бы принять меры,other,0,voice,разрушение балкона
"Привет! На дом7 сосульки нависают с крыши прямо над входом. Надо бы их убрать, а то кто-нибудь пострадает.",other,0,typo,сосульки
"Вы что, совсем охренели?! Это уже третий год фасад осыпается, а вы ничего не делаете! Я уже заявление в прокуратуру пишу, достали совсем!",other,0,emotional,разрушение фасада
Крыша течет 3 этаж.,other,0,short,протечка кровли
Срочно! С крыши дома №5 по улице Ленина падают сосульки длиной более метра прямо на детскую площадку. Уже чуть не угодили в ребенка. Немедленно примите меры!,other,1,emotional,падение сосулек
дайте плиз срочно бригаду на крышу у нас в 3 подъезде целый кусок кровли оторвало ветром и он болтается на проводах может рухнуть в любой момент,other,1,voice,разрушение кровли
"Кв 45, 4 этаж. С балкона соседей сверху отваливается бетонная плита, висит на арматуре. Опасно для прохожих!",other,1,formal,разрушение балкона
шыфер с крышы сыпется на машины у 7 подезда одна тачка уже побита,other,1,typo,обрушение шифера
Фасад трещит! Кирпичи падают!,other,1,short,разрушение фасада
"Срочно! С фасада дома по адресу ул. Ленина, 15 начали падать кирпичи! Люди ходят по тротуару, опасно! Немедленно примите меры!",other,1,formal,обрушение фасада
да тут на балконе плита треснула висит еле держится сейчас упадет на голову кому-нибудь срочно приезжайте,other,1,voice,разрушение балкона
кровля протекает срочно на 3 этаже вода льет ручьем все заливает как жить,other,1,typo,протечка кровли
"Что за безобразие! На крыше дома огромные сосульки, которые вот-вот рухнут на людей! УК, вы вообще следите за домом?! Немедленно устраняйте! Иначе пишу в прокуратуру!",other,1,emotional,сосульки на кровле
фасад трещит кирпичи сыпятся,other,1,short,разрушение фасада
"Здравствуйте, прошу обратить внимание на домофон. В подъезде №3 он периодически не открывает дверь, приходится ждать пока кто-нибудь выйдет. Вызывали мастера, но проблема осталась. Просьба провести диагностику и наладить работу устройства.",door,0,formal,домофон не открывает дверь
да здравствуйте кароче доводчик на двери в первом подъезде громко скрипит и дверь сама не закрывается плохо прохладно в подъезде сделайте что-нибудь,door,0,voice,доводчик неисправен
здраствуйте у нас в 5 подезде замок на входной двери заедает ключь трудно повернуть а иногда ваще не открыть прошу поченить,door,0,typo,замок заедает
"Когда уже вы займетесь дверью в подвал?! Она не закрывается вообще, туда кто угодно залезет! Мы уже третий раз пишем, а вы все игнорите! Надоело! Срочно почините замок, иначе я пишу жалобу в ГЖИ!",door,0,emotional,дверь подвала не закрывается
"Кнопка вызова домофона не работает, 4 подъезд.",door,0,short,кнопка домофона не работает
Здравствуйте. В квартире №45 слабый напор холодной воды на кухне и в ванной. Прошу проверить давление в стояке ХВС и при необходимости отрегулировать. Заявка не срочная.,water,0,formal,слабый напор ХВС
да здрасьте у нас тут канешна из крана горячая вода чуть теплая но не кипяток хотелось бы по горячее но это не срочно просто запишите заявку пожалуйста,water,0,voice,недостаточно горячая вода
"здравствуйте в туалете медлено уходит вода в унитазе уже неделю, наверное засор, но не переливается. Прошу прочистить. Кв 12",water,0,typo,засор канализации
"Когда вы уже нормально сделаете водоснабжение?! Из горячего крана еле течет, как будто холодная! А мы платим за горячую воду! Неужели нельзя отрегулировать?! Надоело! Жду ответа!",water,0,emotional,слабый напор ГВС
"капает из крана в подвале, некритично",water,0,short,утечка в подвале
"Уважаемая управляющая компания! В подъезде №3 на полу возле мусоропровода обнаружено вещество, похожее на ртуть. Требуется немедленная уборка и дезинфекция силами АДС, так как это угрожает здоровью жильцов, особенно детей. Квартира 45.",cleaning,1,formal,разлит опасный химикат
да здравствуйте аварийка у нас в подвале прорвало трубу и всё затопило вместе с мусором вонь ужасная дети дышат этим приезжайте скорее пятый подъезд,cleaning,1,voice,потоп с мусором в подвале
"В подьезде №2 разбросаны острые иглы и мусор, это опастно для детей и животных. Срочно убрать! кв 17 жалоба.",cleaning,1,typo,иглы и мусор на полу
"Вы что там совсем охренели?! Мусоропровод забит уже неделю, вонь на весь подъезд, тараканы ползут! Это же аварийная ситуация! Немедленно вызовите АДС и устраните засор, а то я в ГЖИ позвоню и на вас заявлю!",cleaning,1,emotional,забит мусоропровод
"Горит мусоропровод, 4 подъезд, срочно!",cleaning,1,short,возгорание в мусоропроводе
"Прорвало трубу горячего водоснабжения в подвале, вода заливает подъезд, есть риск повреждения электрики. Требуется срочный выезд АДС. Квартира 15, подъезд 2.",water,1,formal,прорыв трубы ГВС
да здравствуйте у нас в подъезде потоп кароче из подвала вода хлещет горячая пар стоит приезжайте скорее,water,1,voice,прорыв трубы в подвале
"Пррвало стояк хвс на 5 этаже вада бежит по стояку и льет в кватиру, залило соседей, приезжайте аварийно",water,1,typo,прорыв стояка ХВС
"Доколе можно терпеть?! У вас трубы гнилые, теперь кипятком всё залило, подъезд в пару, люди скользят, дети орут! Вызывайте немедленно АДС, а то я в ГЖИ заявление пишу!",water,1,emotional,прорыв трубы с кипятком
"Засор канализации, всё заливает, авария!",water,1,short,засор канализации с розливом
"В квартире № 56 четвертого подъезда батареи отопления чуть теплые, температура в комнатах не поднимается выше 15 градусов. Прошу провести проверку системы отопления и принять меры для нормализации теплоснабжения.",heating,0,formal,слабое отопление
да здравствуйте это квартира 18 во втором подъезде у нас батареи в комнатах холодные а на кухне теплые пришлите кого нибудь посмотреть,heating,0,voice,неравномерный прогрев
"В квартре 33 отопление плохое, батарея в спальне еле теплая, а в зале ваще холодная. Придьте проверте стояк. Соседи сверху жаловались на воздух в трубах.",heating,0,typo,завоздушивание
"Здравствуйте! Сколько можно терпеть! Уже конец октября, а в квартире 5 на первом этаже батареи совсем холодные. Мерзнут ноги, дети болеют. Вы вообще работаете? Если в ближайшие два дня никто не придёт, я напишу жалобу в ГЖИ и залью все соцсети!",heating,0,emotional,холодные батареи
"Батарея холодная, квартира 7.",heating,0,short,холодная батарея
"Здравствуйте, я житель квартиры 45, подъезд 3. В данный момент нахожусь в лифте, который внезапно остановился между 5 и 6 этажом. Двери заблокированы, кнопки не реагируют, освещение мигает. Прошу направить аварийную бригаду, так как внутри находятся люди, и у меня проблемы с сердцем.",lift,1,formal,Застрял между этажами
але диспетчер я застрял в лифте в третьем подъезде кабина стоит между этажами кнопки не работают вызова нет помогите быстрее,lift,1,voice,"Застрял, нет света"
"Я застрял в лифте на 2 подъезде, лифт резко остановился и двери не открываються, внутри темно, я один, вызавите аварику скорее",lift,1,typo,Застрял один в темноте
"МЫ ЗАСТРЯЛИ В ЛИФТЕ С РЕБЕНКОМ! ОН ПЛАЧЕТ, У НАС НЕТ СВЕТА, ВОЗДУХ ЗАКАНЧИВАЕТСЯ! НЕМЕДЛЕННО ПРИШЛИТЕ СПАСАТЕЛЕЙ, ИНАЧЕ Я ПОДНИМУ СКАНДАЛ! ПОДЪЕЗД 5, ЛИФТ МЕЖДУ ЭТАЖАМИ!",lift,1,emotional,Застрял с ребенком
"Лифт падает! Я внутри, помогите!",lift,1,short,Падение лифта
"Здравствуйте. В подъезде №3 захлопнулась входная дверь, механизм заклинило, открыть невозможно. Внутри находится житель с ограниченными возможностями, которому требуется срочная помощь медиков. Прошу обеспечить немедленное вскрытие двери силами аварийной службы.",door,1,formal,заклинило дверь
здравствуйте тут кароче дверь в подвал захлопнулась а там сантехник ремонт делает он не может выйти срочно надо открыть а то он там задохнется,door,1,voice,захлопнулась дверь подвала
люди не магу выйти из подезда дверь заклинила а на лестничной клетке дым срочно приезде кто нибуть,door,1,typo,блокировка выхода
"Вы что там все с ума посходили?! Дверь в подъезд заклинило, между створками застрял ребенок! Если что-то случится, я на вас в суд подам, в прокуратуру напишу! Немедленно приезжайте, пока не поздно!",door,1,emotional,застревание в дверях
"Дверь заклинило, заперт человек, срочно!",door,1,short,не открывается дверь
"Прошу принять срочные меры. В моей квартире произошел прорыв радиатора отопления, из него под давлением выходит горячая вода с паром. Существует угроза затопления квартиры и повреждения имущества. Требуется немедленный выезд аварийно-диспетчерской службы.",heating,1,formal,прорыв радиатора
да здравствуйте у нас батарея лопнула горячая вода хлещет паром всё заливает приезжайте скорее,heating,1,voice,лопнула батарея
здраствуйте уменя вквартире прорвало батарею кипяток льется пар стоит заливает соседей приезжайте аварийно,heating,1,typo,прорыв отопления
"Да что у вас за управляющая компания?! У меня батарею разорвало, горячая вода фонтаном, пар как в бане! Всё заливает, потолок сейчас рухнет! Немедленно пришлите аварийку, иначе я в ГЖИ и в прокуратуру напишу!",heating,1,emotional,разрыв батареи
"Батарея лопнула, кипяток хлещет, пар. Аварийка!",heating,1,short,течь батареи
"Здравствуйте, управляющая компания! В подъезде №3 на пятом этаже перегорела лампа в осветительном приборе. Замена не производится уже более недели. Прошу устранить неисправность в ближайшее время. С уважением, жилец квартиры 57.",light,0,formal,перегорела лампа в подъезде
да здравствуйте это из третьего подъезда у нас на площадке свет мигает постоянно как будто контакты пропадают посмотрите пожалуйста а то глаза устают,light,0,voice,мигает свет на лестнице
"Здравствуйте! В подезде номер 2 на первом этаже не работат выключатель, свет не врубается. Пробывала сама нажимать — бесполезно. Придите почените.",light,0,typo,неисправен выключатель
